Run,Experiment,BioSample,Sample,SampleName,treatment_group,timepoint,sample_number,probiotic,delivery_vehicle,spots,bases,avgLength,size_MB,LibraryLayout,Platform,Model,download_path,weeks
SRR20011368,SRX16051980,SAMN29546594,SRS13730951,fungi_NTC_W0_G_001,NTC,W0,001,No,None,39478,20273424,513,10,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011368/SRR20011368.lite.1,0
SRR20011367,SRX16051981,SAMN29546595,SRS13730952,fungi_NTC_W0_G_002,NTC,W0,002,No,None,132337,61133775,461,26,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011367/SRR20011367.lite.1,0
SRR20011286,SRX16052062,SAMN29546596,SRS13731033,fungi_NTC_W0_G_003,NTC,W0,003,No,None,98853,54395851,550,28,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011286/SRR20011286.lite.1,0
SRR20011247,SRX16052101,SAMN29546597,SRS13731072,fungi_NTC_W0_G_004,NTC,W0,004,No,None,40202,18985593,472,8,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20011/SRR20011247/SRR20011247.lite.1,0
SRR20011236,SRX16052112,SAMN29546598,SRS13731083,fungi_NTC_W0_G_005,NTC,W0,005,No,None,16267,7847705,482,3,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011236/SRR20011236.lite.1,0
SRR20011225,SRX16052123,SAMN29546599,SRS13731094,fungi_NTC_W0_G_007,NTC,W0,007,No,None,73188,34229709,467,15,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011225/SRR20011225.lite.1,0
SRR20011214,SRX16052134,SAMN29546600,SRS13731105,fungi_NTC_W0_G_008,NTC,W0,008,No,None,82296,44691897,543,22,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011214/SRR20011214.lite.1,0
SRR20011322,SRX16052026,SAMN29546608,SRS13730997,fungi_PP_W0_G_016,PP,W0,016,Yes,Patty,131498,71599560,544,41,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011322/SRR20011322.lite.1,0
SRR20011283,SRX16052065,SAMN29546609,SRS13731036,fungi_PP_W0_G_017,PP,W0,017,Yes,Patty,40318,19377231,480,9,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR020/20011/SRR20011283/SRR20011283.lite.1,0
SRR20011272,SRX16052076,SAMN29546610,SRS13731047,fungi_PP_W0_G_018,PP,W0,018,Yes,Patty,24712,11792873,477,5,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011272/SRR20011272.lite.1,0
SRR20011261,SRX16052087,SAMN29546611,SRS13731058,fungi_PP_W0_G_019,PP,W0,019,Yes,Patty,364043,206168401,566,104,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011261/SRR20011261.lite.1,0
SRR20011306,SRX16052042,SAMN29546612,SRS13731013,fungi_PP_W0_G_020,PP,W0,020,Yes,Patty,36375,18590781,511,9,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011306/SRR20011306.lite.1,0
SRR20011295,SRX16052053,SAMN29546613,SRS13731024,fungi_PP_W0_G_021,PP,W0,021,Yes,Patty,45819,22819939,498,11,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011295/SRR20011295.lite.1,0
SRR20011285,SRX16052063,SAMN29546614,SRS13731034,fungi_PP_W0_G_022,PP,W0,022,Yes,Patty,28191,14300952,507,7,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR020/20011/SRR20011285/SRR20011285.lite.1,0
SRR20011203,SRX16052145,SAMN29546601,SRS13731116,fungi_PV_W0_G_009,PV,W0,009,No,Patty,28170,13230557,469,6,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011203/SRR20011203.lite.1,0
SRR20011192,SRX16052156,SAMN29546602,SRS13731127,fungi_PV_W0_G_010,PV,W0,010,No,Patty,47812,24472155,511,12,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011192/SRR20011192.lite.1,0
SRR20011181,SRX16052167,SAMN29546603,SRS13731138,fungi_PV_W0_G_011,PV,W0,011,No,Patty,106664,56547923,530,28,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011181/SRR20011181.lite.1,0
SRR20011366,SRX16051982,SAMN29546604,SRS13730953,fungi_PV_W0_G_012,PV,W0,012,No,Patty,18576,9237883,497,4,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011366/SRR20011366.lite.1,0
SRR20011355,SRX16051993,SAMN29546605,SRS13730964,fungi_PV_W0_G_013,PV,W0,013,No,Patty,79673,40996082,514,20,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011355/SRR20011355.lite.1,0
SRR20011344,SRX16052004,SAMN29546606,SRS13730975,fungi_PV_W0_G_014,PV,W0,014,No,Patty,17317,8787128,507,4,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011344/SRR20011344.lite.1,0
SRR20011333,SRX16052015,SAMN29546607,SRS13730986,fungi_PV_W0_G_015,PV,W0,015,No,Patty,31380,14960337,476,7,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011333/SRR20011333.lite.1,0
SRR20011250,SRX16052098,SAMN29546621,SRS13731069,fungi_SP_W0_G_030,SP,W0,030,Yes,Spray,18271,9195809,503,4,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011250/SRR20011250.lite.1,0
SRR20011249,SRX16052099,SAMN29546622,SRS13731070,fungi_SP_W0_G_031,SP,W0,031,Yes,Spray,92839,51744010,557,26,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011249/SRR20011249.lite.1,0
SRR20011248,SRX16052100,SAMN29546623,SRS13731071,fungi_SP_W0_G_032,SP,W0,032,Yes,Spray,8827,4350429,492,2,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR020/20011/SRR20011248/SRR20011248.lite.1,0
SRR20011246,SRX16052102,SAMN29546624,SRS13731073,fungi_SP_W0_G_034,SP,W0,034,Yes,Spray,33012,17234403,522,8,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR020/20011/SRR20011246/SRR20011246.lite.1,0
SRR20011245,SRX16052103,SAMN29546625,SRS13731074,fungi_SP_W0_G_035,SP,W0,035,Yes,Spray,111970,54370619,485,25,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR020/20011/SRR20011245/SRR20011245.lite.1,0
SRR20011244,SRX16052104,SAMN29546626,SRS13731075,fungi_SP_W0_G_036,SP,W0,036,Yes,Spray,232314,126565078,544,63,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011244/SRR20011244.lite.1,0
SRR20011256,SRX16052092,SAMN29546615,SRS13731063,fungi_SV_W0_G_023,SV,W0,023,No,Spray,321304,150173993,467,65,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011256/SRR20011256.lite.1,0
SRR20011255,SRX16052093,SAMN29546616,SRS13731064,fungi_SV_W0_G_024,SV,W0,024,No,Spray,50735,28457787,560,14,PAIRED,ILLUMINA,Illumina MiSeq,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR020/20011/SRR20011255/SRR20011255.lite.1,0
