sample_id,timepoint,weeks,treatment_group,probiotic,delivery_vehicle
NTC_W0_01,W0,0,NTC,No,None
NTC_W0_02,W0,0,NTC,No,None
NTC_W0_03,W0,0,NTC,No,None
NTC_W0_04,W0,0,NTC,No,None
NTC_W0_05,W0,0,NTC,No,None
NTC_W0_06,W0,0,NTC,No,None
NTC_W0_07,W0,0,NTC,No,None
PP_W0_01,W0,0,PP,Yes,Patty
PP_W0_02,W0,0,PP,Yes,Patty
PP_W0_03,W0,0,PP,Yes,Patty
PP_W0_04,W0,0,PP,Yes,Patty
PP_W0_05,W0,0,PP,Yes,Patty
PP_W0_06,W0,0,PP,Yes,Patty
PP_W0_07,W0,0,PP,Yes,Patty
PV_W0_01,W0,0,PV,No,Patty
PV_W0_02,W0,0,PV,No,Patty
PV_W0_03,W0,0,PV,No,Patty
PV_W0_04,W0,0,PV,No,Patty
PV_W0_05,W0,0,PV,No,Patty
PV_W0_06,W0,0,PV,No,Patty
PV_W0_07,W0,0,PV,No,Patty
SP_W0_01,W0,0,SP,Yes,Spray
SP_W0_02,W0,0,SP,Yes,Spray
SP_W0_03,W0,0,SP,Yes,Spray
SP_W0_04,W0,0,SP,Yes,Spray
SP_W0_05,W0,0,SP,Yes,Spray
SP_W0_06,W0,0,SP,Yes,Spray
SV_W0_01,W0,0,SV,No,Spray
SV_W0_02,W0,0,SV,No,Spray
SV_W0_03,W0,0,SV,No,Spray
SV_W0_04,W0,0,SV,No,Spray
SV_W0_05,W0,0,SV,No,Spray
SV_W0_06,W0,0,SV,No,Spray
NTC_W2_01,W2,2,NTC,No,None
NTC_W2_02,W2,2,NTC,No,None
NTC_W2_03,W2,2,NTC,No,None
NTC_W2_04,W2,2,NTC,No,None
NTC_W2_05,W2,2,NTC,No,None
NTC_W2_06,W2,2,NTC,No,None
NTC_W2_07,W2,2,NTC,No,None
PP_W2_01,W2,2,PP,Yes,Patty
PP_W2_02,W2,2,PP,Yes,Patty
PP_W2_03,W2,2,PP,Yes,Patty
PP_W2_04,W2,2,PP,Yes,Patty
PP_W2_05,W2,2,PP,Yes,Patty
PP_W2_06,W2,2,PP,Yes,Patty
PP_W2_07,W2,2,PP,Yes,Patty
PV_W2_01,W2,2,PV,No,Patty
PV_W2_02,W2,2,PV,No,Patty
PV_W2_03,W2,2,PV,No,Patty
PV_W2_04,W2,2,PV,No,Patty
PV_W2_05,W2,2,PV,No,Patty
PV_W2_06,W2,2,PV,No,Patty
PV_W2_07,W2,2,PV,No,Patty
SP_W2_01,W2,2,SP,Yes,Spray
SP_W2_02,W2,2,SP,Yes,Spray
SP_W2_03,W2,2,SP,Yes,Spray
SP_W2_04,W2,2,SP,Yes,Spray
SP_W2_05,W2,2,SP,Yes,Spray
SP_W2_06,W2,2,SP,Yes,Spray
SV_W2_01,W2,2,SV,No,Spray
SV_W2_02,W2,2,SV,No,Spray
SV_W2_03,W2,2,SV,No,Spray
SV_W2_04,W2,2,SV,No,Spray
SV_W2_05,W2,2,SV,No,Spray
SV_W2_06,W2,2,SV,No,Spray
NTC_W4_01,W4,4,NTC,No,None
NTC_W4_02,W4,4,NTC,No,None
NTC_W4_03,W4,4,NTC,No,None
NTC_W4_04,W4,4,NTC,No,None
NTC_W4_05,W4,4,NTC,No,None
NTC_W4_06,W4,4,NTC,No,None
NTC_W4_07,W4,4,NTC,No,None
PP_W4_01,W4,4,PP,Yes,Patty
PP_W4_02,W4,4,PP,Yes,Patty
PP_W4_03,W4,4,PP,Yes,Patty
PP_W4_04,W4,4,PP,Yes,Patty
PP_W4_05,W4,4,PP,Yes,Patty
PP_W4_06,W4,4,PP,Yes,Patty
PP_W4_07,W4,4,PP,Yes,Patty
PV_W4_01,W4,4,PV,No,Patty
PV_W4_02,W4,4,PV,No,Patty
PV_W4_03,W4,4,PV,No,Patty
PV_W4_04,W4,4,PV,No,Patty
PV_W4_05,W4,4,PV,No,Patty
PV_W4_06,W4,4,PV,No,Patty
PV_W4_07,W4,4,PV,No,Patty
SP_W4_01,W4,4,SP,Yes,Spray
SP_W4_02,W4,4,SP,Yes,Spray
SP_W4_03,W4,4,SP,Yes,Spray
SP_W4_04,W4,4,SP,Yes,Spray
SP_W4_05,W4,4,SP,Yes,Spray
SP_W4_06,W4,4,SP,Yes,Spray
SV_W4_01,W4,4,SV,No,Spray
SV_W4_02,W4,4,SV,No,Spray
SV_W4_03,W4,4,SV,No,Spray
SV_W4_04,W4,4,SV,No,Spray
SV_W4_05,W4,4,SV,No,Spray
SV_W4_06,W4,4,SV,No,Spray
NTC_W8_01,W8,8,NTC,No,None
NTC_W8_02,W8,8,NTC,No,None
NTC_W8_03,W8,8,NTC,No,None
NTC_W8_04,W8,8,NTC,No,None
NTC_W8_05,W8,8,NTC,No,None
NTC_W8_06,W8,8,NTC,No,None
NTC_W8_07,W8,8,NTC,No,None
PP_W8_01,W8,8,PP,Yes,Patty
PP_W8_02,W8,8,PP,Yes,Patty
PP_W8_03,W8,8,PP,Yes,Patty
PP_W8_04,W8,8,PP,Yes,Patty
PP_W8_05,W8,8,PP,Yes,Patty
PP_W8_06,W8,8,PP,Yes,Patty
PP_W8_07,W8,8,PP,Yes,Patty
PV_W8_01,W8,8,PV,No,Patty
PV_W8_02,W8,8,PV,No,Patty
PV_W8_03,W8,8,PV,No,Patty
PV_W8_04,W8,8,PV,No,Patty
PV_W8_05,W8,8,PV,No,Patty
PV_W8_06,W8,8,PV,No,Patty
