ASV identifier,Prevalence,Genus,Species
fSV_2,1.0,Lachancea,Lachancea_quebecensis
fSV_3,1.0,Kodamaea,Kodamaea_fsv3
fSV_11,1.0,fsv11,fsv11_fsv11
fSV_21,1.0,Hanseniaspora,Hanseniaspora_lachancei
fSV_25,0.98989898989899,Diutina,Diutina_pseudorugosa
fSV_23,0.97979797979798,Hanseniaspora,Hanseniaspora_guilliermondii
fSV_63,0.97979797979798,fsv148,fsv148_fsv148
fSV_27,0.974747474747475,Issatchenkia,Issatchenkia_fsv27
fSV_28,0.964646464646465,fsv148,fsv148_fsv28
fSV_24,0.954545454545455,Candida,Candida_friedrichii
fSV_37,0.883838383838384,fsv148,fsv148_fsv37
fSV_60,0.863636363636364,Hanseniaspora,Hanseniaspora_uvarum
fSV_47,0.853535353535353,fsv47,fsv47_fsv47
fSV_34,0.838383838383838,Kodamaea,Kodamaea_ohmeri
fSV_39,0.828282828282828,fsv39,fsv39_fsv39
