Genus,significant_ASVs,positive_effects,negative_effects,max_abs_coef,best_q
Candida,6,3,7,4.12426473650078,0.001345083
Debaryomyces,1,0,1,0.902862986075741,0.0144309408576815
Dipodascus,1,1,0,2.14681325291539,0.00288162908746394
Diutina,1,0,1,0.6432873,0.009614562
Eremothecium,1,1,0,0.246010985339374,0.000841353389437183
Hanseniaspora,3,1,2,4.29113824244531,0.00354417880359596
Issatchenkia,2,2,0,0.940016199674847,0.000841353389437183
Kluyveromyces,1,0,1,1.01951390153939,0.00141988765620667
Kodamaea,1,0,1,6.40514263866031,0.0254404380131877
Kurtzmaniella,1,1,0,2.28388249865952,0.00086690879790954
Lachancea,1,0,1,2.436251,0.004346806
Metschnikowia,10,10,7,3.89022191841095,0.000914480803893748
Meyerozyma,1,2,0,5.117535,0.01361457
Millerozyma,1,1,0,0.777126774317455,0.0211811851468908
Nakazawaea,1,0,4,0.956631162682672,0.00832239351239125
Pichia,2,0,2,1.263838,0.004930937
Priceomyces,1,0,1,1.035957,0.002332599
Saccharomycopsis,1,0,1,0.720894128441189,0.00316382732496343
Scheffersomyces,1,0,1,1.244735,0.008551834
Torulaspora,1,0,2,1.62108132394119,0.0282540026095098
Wickerhamomyces,2,5,0,1.27530188242741,0.002681926
Yarrowia,1,1,0,0.7924434,0.002729486
Zygosaccharomyces,2,5,0,5.7769,4.802965e-06
fsv1010,1,0,1,1.13418788012704,0.0142859682627503
fsv1025,1,0,1,0.905911937282428,0.0470817467664498
fsv1041,2,1,1,2.08118513410289,0.004790731
fsv11,1,0,1,1.63933,0.0342843
fsv1128,1,0,1,2.28285021332365,0.00401128349570533
fsv1192,1,0,1,1.428426,0.003858645
fsv1232,1,0,1,1.44614937230796,0.00107574509297536
fsv127,3,1,2,1.43841357947176,0.003783721
fsv1374,1,0,4,1.08941904447084,0.0108427137769374
fsv1413,1,1,0,3.103686,4.379351e-06
fsv146,1,0,1,3.21572474517254,0.0013610776004966
fsv1473,3,0,3,2.16689918220581,0.00108172972749056
fsv148,1,1,0,1.29799963830727,0.0402434374640791
fsv1497,1,1,0,1.601599,0.0005256201
fsv171,1,1,0,2.80235397540405,0.00349175624853673
fsv1757,1,0,1,1.103344,0.005416707
fsv184,2,0,3,4.55273169114457,0.000115513638465481
fsv1874,1,1,0,1.474938,0.000649839
fsv194,1,0,1,2.429834,0.00975249
fsv1968,1,5,0,1.14046,0.002668621
fsv1997,1,0,1,1.354625,0.002332599
fsv2051,1,1,0,1.245659,9.094738e-05
fsv2084,1,5,0,1.117301,0.002680657
fsv2138,1,5,0,1.12741057058061,0.000593437388239847
fsv2218,1,1,0,1.13059190556447,0.000409083258002927
fsv2372,1,1,0,1.414233,7.080418e-05
fsv2482,1,0,1,1.146489,0.003158105
fsv261,1,0,1,2.748836,0.004492394
fsv2722,1,1,0,1.295462,8.362061e-05
fsv3487,2,1,1,3.591424,0.0090889
fsv405,1,5,0,1.708626,0.002882249
fsv419,1,1,0,2.474203766335,0.0493966253520112
fsv442,2,2,0,2.234492,0.007045671
fsv450,2,1,1,1.63189155199451,0.00993722132337121
fsv594,1,0,1,1.41177381535323,0.00775549808412497
fsv672,2,5,1,2.459852,0.009730455
fsv789,1,0,1,1.64934909040928,0.0485085026999291
fsv893,1,2,0,1.373338,0.01674636
